task_id,success_rate,num_runs,num_successes
0,1.0000,5,5
1,1.0000,5,5
2,1.0000,5,5
3,1.0000,5,5
4,1.0000,5,5
5,0.0000,5,0
6,1.0000,5,5
7,1.0000,5,5
8,0.2000,5,1
9,1.0000,5,5
10,0.0000,5,0
11,1.0000,5,5
12,0.8000,5,4
13,1.0000,5,5
14,1.0000,5,5
15,0.8000,5,4
16,1.0000,5,5
17,1.0000,5,5
18,0.6000,5,3
19,1.0000,5,5
20,0.8000,5,4
21,1.0000,5,5
22,0.0000,5,0
23,1.0000,5,5
24,0.6000,5,3
25,1.0000,5,5
26,0.8000,5,4
27,0.8000,5,4
28,1.0000,5,5
29,0.8000,5,4
30,0.6000,5,3
31,1.0000,5,5
32,1.0000,5,5
33,1.0000,5,5
34,0.0000,5,0
35,0.2000,5,1
36,0.6000,5,3
37,1.0000,5,5
38,1.0000,5,5
39,0.8000,5,4
40,1.0000,5,5
41,0.4000,5,2
42,0.6000,5,3
43,1.0000,5,5
44,1.0000,5,5
45,0.8000,5,4
46,0.8000,5,4
47,1.0000,5,5
48,1.0000,5,5
49,0.8000,5,4
50,1.0000,5,5
51,0.8000,5,4
52,1.0000,5,5
53,0.8000,5,4
54,1.0000,5,5
55,0.2000,5,1
56,1.0000,5,5
57,1.0000,5,5
58,1.0000,5,5
59,1.0000,5,5
60,1.0000,5,5
61,1.0000,5,5
62,0.8000,5,4
63,1.0000,5,5
64,0.0000,5,0
65,1.0000,5,5
66,1.0000,5,5
67,1.0000,5,5
68,0.8000,5,4
69,0.4000,5,2
70,0.2000,5,1
71,1.0000,5,5
72,1.0000,5,5
73,0.4000,5,2
74,0.8000,5,4
75,1.0000,5,5
76,0.6000,5,3
77,1.0000,5,5
78,1.0000,5,5
79,1.0000,5,5
80,0.0000,5,0
81,0.8000,5,4
82,1.0000,5,5
83,0.8000,5,4
84,1.0000,5,5
85,1.0000,5,5
86,0.8000,5,4
87,1.0000,5,5
88,1.0000,5,5
89,1.0000,5,5
90,1.0000,5,5
91,0.8000,5,4
92,1.0000,5,5
93,1.0000,5,5
94,1.0000,5,5
95,1.0000,5,5
96,1.0000,5,5
97,1.0000,5,5
98,1.0000,5,5
99,1.0000,5,5
100,1.0000,5,5
101,1.0000,5,5
102,0.2000,5,1
